iata_code,icao_code,airport_name,city,country_code,latitude,longitude,elevation_ft,timezone,airport_type
EGO,UUOB,Belgorod International Airport,Belgorod,RU,50.643798828125,36.5900993347168,735,Europe/Moscow,medium_airport
EGS,BIEG,Egilsstaðir Airport,Egilsstaðir,IS,65.2833023071289,-14.401399612426758,76,Atlantic/Reykjavik,medium_airport
EGX,PAII,Egegik Airport,Egegik,US,58.184386,-157.374873,92,America/Anchorage,medium_airport
EHL,SAVB,El Bolsón Airfield,El Bolsón,AR,-41.943199,-71.532303,1141,America/Argentina/Salta,medium_airport
EHM,PAEH,Cape Newenham LRRS Airport,Cape Newenham,US,58.646400451699996,-162.06300354,541,America/Anchorage,medium_airport
EHU,ZHEC,Ezhou Huahu Airport,Ezhou,CN,30.341178,115.03926,86,Asia/Shanghai,large_airport
EIB,EDGE,Eisenach-Kindel Airport,Hörselberg-Hainich,DE,50.991604,10.47973,1112,Europe/Berlin,medium_airport
EIE,UNII,Yeniseysk Airport,Yeniseysk,RU,58.474201,92.112503,253,Asia/Krasnoyarsk,medium_airport
EIK,,Yeysk Airport,Yeysk,RU,46.68,38.21,60,Europe/Moscow,medium_airport
EIL,PAEI,Eielson Air Force Base,Fairbanks,US,64.66570282,-147.102005,547,America/Anchorage,medium_airport
EIN,EHEH,Eindhoven Airport,Eindhoven,NL,51.4500999451,5.37452983856,74,Europe/Amsterdam,large_airport
EIS,TUPJ,Terrance B. Lettsome International Airport,Beef Island,VG,18.445492,-64.541707,15,America/Tortola,medium_airport
EJA,SKEJ,Yariguíes Airport,Barrancabermeja,CO,7.02433,-73.8068,412,America/Bogota,medium_airport
EJH,OEWJ,Al Wajh Domestic Airport,Al Wajh,SA,26.198601,36.476398,66,Asia/Riyadh,medium_airport
EKA,KEKA,Murray Field,Eureka,US,40.803398,-124.112999,7,America/Los_Angeles,medium_airport
EKB,UASB,Ekibastuz Airport,Ekibastuz,KZ,51.590999603271484,75.21499633789062,621,N/A,medium_airport
EKN,KEKN,Elkins-Randolph County Regional Airport,Elkins,US,38.889759,-79.857651,1987,America/New_York,medium_airport
EKO,KEKO,Elko Regional Airport,Elko,US,40.82490158081055,-115.79199981689453,5140,America/Los_Angeles,medium_airport
EKT,ESSU,Eskilstuna Airport,Eskilstuna,SE,59.351101,16.708401,139,Europe/Stockholm,medium_airport
ELB,SKBC,Las Flores Airport,El Banco,CO,9.04554,-73.9749,111,America/Bogota,medium_airport
ELC,YELD,Elcho Island Airport,Elcho Island,AU,-12.019399642899998,135.570999146,101,Australia/Darwin,medium_airport
ELD,KELD,South Arkansas Regional Airport at Goodwin Field,El Dorado,US,33.221001,-92.813301,277,America/Chicago,medium_airport
ELF,HSFS,El Fasher Airport,El Fasher,SD,13.614899635314941,25.324600219726562,2393,Africa/Khartoum,medium_airport
ELG,DAUE,El Golea Airport,El Menia,DZ,30.580732,2.861595,1306,Africa/Algiers,medium_airport
ELH,MYEH,North Eleuthera Airport,North Eleuthera,BS,25.474899292,-76.6835021973,13,America/Nassau,medium_airport
ELM,KELM,Elmira Corning Regional Airport,Elmira/Corning,US,42.1599006652832,-76.8916015625,954,America/New_York,medium_airport
ELP,KELP,El Paso International Airport,El Paso,US,31.807199,-106.377998,3959,America/Denver,medium_airport
ELQ,OEGS,Gassim Airport,Buraidah,SA,26.302799,43.774399,2126,Asia/Riyadh,medium_airport
ELS,FAEL,King Phalo Airport,East London,ZA,-33.035599,27.825899,435,Africa/Johannesburg,medium_airport
ELU,DAUO,Guemar Airport - مطار قمار بالوادي,Guemar,DZ,33.511398,6.77679,203,Africa/Algiers,medium_airport
